发放任务的人,完成任务的平均道行,任务类型,涉及的NPC,寻找的物品名或者打听的事情名,涉及的数量,任务的原因,给该任务时说的话,任务完成后说的话,ask/give后npc说的话,该任务的奖励,任务名（主线任务用）,基于某任务,清除处任务名(删除从这里以后的所有任务纪录)
流氓,-1,find,流氓,钢剑,1,你谦卑地对流氓笑了笑，问道：大侠你好！你知道那天掳走萧萧的是什么人吗？,流氓冷笑道：“哼，真想英雄救美啊？先找把钢剑来，我再告诉你。钢剑在商店应该有得卖”,你还真听话，不过我也不知道，嘿嘿。你去问我们头吧。,,rewardb,liumang1,(/zhuxian),
流氓头,-1,find,流氓头,铜剑,1,你恭顺地和流氓头打招呼，询问他关于萧萧的事，,流氓头斜眼看了你一下，说道：“去，给我找把铜剑来再说。”,看你也不容易，不过大爷我不知道，你去问问空空儿。,,rewardc,liumangtou1,(liumang1),
空空儿,-1,ask,教众,萧萧,1,你毕恭毕敬地对空空儿鞠了一躬，说道：“老爷子，前几天有人在广场上掠走了一个叫萧萧的女孩，你听说了吧？她是我的朋友，你能告诉我是谁干的吗？”,空空儿点了点头，说道：“听说过，好像是魔教的人干的，兰州有一些魔教教众，你先去问问他们。不过途中有一个蓑笠客挡道，你打不过就别硬闯了。”问完之后回来，我有好东西给你。,既然教众不知道，你试着去问问绿衣护教吧。,哈哈，每天教中都会来很多美人，鬼知道你说的是哪个？回去告诉空空儿那老头，别来派人来烦大爷我。,rewardi,kongkonger1,(liumangtou1),
绿衣护教,-1,find,绿衣护教,银刀,1,你和绿衣护教打着哈哈，向他打听萧萧的事。,绿衣护教不屑地看了看你，说道：“我凭什么要告诉你？我想练刀了，你先去给我找把银刀来。”,我告诉你吧，这是五岳剑派教主柳逸风干的。你去把他的养女蓝小蝶带到这里，我就告诉你他把萧萧藏哪儿了。,,rewardi,lvyihujiao1,(kongkonger1),
蓝小蝶,-1,give,颜慧如,银剑,1,你一五一十地把绿衣护教的话告诉了蓝小梅，并向她打听萧萧被劫的事。,蓝小蝶听完，俏脸一红，道：“什么？绿衣护教这个色魔！这是他的圈套！我们五岳剑派不会做这种事的。你可以去问问我干姐颜慧如，她现在正需要一把银剑，你帮她找一把，她肯定会帮助你的。记得任务完成后再找我，我有好东东给你。”,很好，接下来的事你问慧如姐就可以了，这是给你的。,,rewardi,lanxiaomei1,(lvyihujiao1),
颜慧如,-1,kill,教众,,1,你这时候留神观察起颜慧如，不觉看得呆了。你向颜慧如打听萧萧被劫一事。,"颜慧如详细问了问当天的情况，秀眉一蹙，道：“这肯定是魔教的人干的，魔教人装束就是如此，且一向作恶多端。”
你叹道：她是我的朋友，我一定要救出她，我该怎么办？
颜慧如说道：只有刻苦学艺，杀入魔教总舵去救人。你这么有情有义，我来帮助你。第一步，你要学艺杀掉教众。",颜慧如看着一脸疲惫的你，说道：你真是好样的！这件东西是我的一点心意。,,rewardj,meishan1,(lanxiaomei1),
颜慧如,-2,kill,掌旗手,,1,,下一步，你可以去杀掌旗手了。多加小心啊，掌旗手很厉害的，兰州有一些。,你真厉害，继续努力。这件甲是我从关外偶尔得来，送给你吧！,,rewardk,meishan2,(meishan1),
颜慧如,-3,kill,黑衣护教,,1,,再学学功夫，杀掉黑衣护教。,你已经是高手了，不过，魔教还有更厉害的对手。多加小心啊。这件宝物世所罕有，我送给你，助你一臂之力。,,rewardl,meishan3,(meishan2),
颜慧如,-4,kill,黄衣护法,,1,,你可以去试试杀掉黄衣护法。,"我都被你的执著感动了。对了，最近我一个人呆着挺闷的，你能陪我一起逛逛衡山吗？
你答应了，你们在衡山愉快地看瀑布，练剑，钻松林。不知不觉，你们的手牵在了一起。",,rewardm,meishan4,(meishan3),
颜慧如,-5,kill,堂主熊踪剑宗,,1,,你可以去杀堂主熊踪剑宗了。,"你好厉害！不过我隐隐为你担忧。我总觉得未来凶险异常。
你安慰着慧如，晚上明月剑心剑心升起，你们在一起赏月。慧如看着你的眼睛，说：“你可不可以不去魔教救人了？”你看着她，轻轻地摇了摇头。",,rewardn,meishan5,(meishan4),
颜慧如,-6,kill,刺日神魔杨延庆,,1,,你可以去杀刺日神魔杨延庆了。,现在你可以去闯神殿了。魔教中有一位青衣护教，是我们的卧底。他能帮助你。。。（话说完，慧如脸上闪过一丝忧色，她轻轻地叹了一口气）转身离去之时，你回头看去，只见慧如也正盯着你，似有无数话要说。你一狠心，大步向外走去。,,rewardo,meishan6,(meishan5),
青衣护教,-1,kill,天音神魔风暴剑客,,1,,神殿内的五位长老武功都深不可测，你还是一个一个解决的好，先杀天音神魔风暴剑客。,很好，这里有一件宝物，助你一臂之力！接下来。。。,,rewardo,qingyihujiao1,(meishan6),
青衣护教,-2,kill,飞天神魔赵鹤,,1,,去杀飞天神魔赵鹤吧。,很好，下一个目标是。。。,,rewardo,qingyihujiao2,(qingyihujiao1),
青衣护教,-3,kill,金猴神魔张乘风,,1,,去杀金猴神魔张乘风吧。,下一个目标是。。。,,rewardo,qingyihujiao3,(qingyihujiao2),
青衣护教,-4,kill,白猿神魔张乘云,,1,,去杀白猿神魔张乘云吧。,你虽然已经是绝顶高手，但接下来的这个人，很不好对付。。。,,rewardo,qingyihujiao4,(qingyihujiao3),
青衣护教,-5,kill,刀痴神魔叶天涯,,1,,去杀刀痴神魔叶天涯吧。,天助你也，我们最后的目标就是。。。,,rewardo,qingyihujiao5,(qingyihujiao4)
青衣护教,-6,kill,风无影,,1,,风无影。杀了他，你就可以救出意中人了。,,,rewardp,qingyihujiao6,(qingyihujiao5)
